"prod","dest","mean","sd"
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",1.85620832835819e-07,7.71796835899865e-08
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000192600087365566,4.35404363804565e-05
"Household","Soil (MP)",0.000362443826687298,0.000126243671813186
"Household","Fresh water",4.72523503287326e-07,1.39437844628245e-07
"Household","Fresh water (MP)",4.57160123271678e-05,2.07453623694509e-05
"Household","Subsurface soil (MP)",9.77725931513988e-06,4.77761353024111e-06
"Household","Coastal and ocean water",1.85002903149516e-07,5.17206373611477e-08
"Household","Coastal and ocean water (MP)",2.76349402069853e-05,1.45220877067373e-05
"TamponApplicators","Soil",0.000152088038056596,8.72551588502793e-05
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.00569812140443428,0.0041133720084281
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",1.84211160640326e-07,1.07164980785604e-07
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000153066479928168,4.53371426085595e-05
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",4.73089500320829e-07,1.50763890040636e-07
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",1.85159951346679e-07,5.62433412111263e-08
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.00015421709499005,9.04566530697538e-05
"FabricCoatings","Soil (MP)",0.00496505228056945,0.00119606979547541
"FabricCoatings","Fresh water",4.69694932201993e-07,2.9261477602941e-07
"FabricCoatings","Fresh water (MP)",0.000784449696227801,0.000287005062472718
"FabricCoatings","Subsurface soil (MP)",0.000280959542821214,0.000219866038085486
"FabricCoatings","Coastal and ocean water",1.85261592279765e-07,1.10107953113243e-07
"FabricCoatings","Coastal and ocean water (MP)",0.000206720654743232,0.000147400540904413
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0,0
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0312598558361512,0.0217328384264454
"Cosmetics","Subsurface soil (MP)",0.102284198455381,0.061345752623382
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0,0
"ShotgunCartridges","Soil",0.614975454170155,0.222529840877712
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0995408951227957,0.0406893965268448
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",1.848774740139e-07,1.07401319346134e-07
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000152991169050218,4.36814981900294e-05
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",4.72939599473153e-07,1.4561596270325e-07
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",1.85121725138612e-07,5.37136797238315e-08
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",0,0
"FishingGearOcean","Soil (MP)",0,0
"FishingGearOcean","Fresh water",0,0
"FishingGearOcean","Fresh water (MP)",0,0
"FishingGearOcean","Subsurface soil (MP)",0,0
"FishingGearOcean","Coastal and ocean water",0.0420719021040858,0.01383486664069
"FishingGearOcean","Coastal and ocean water (MP)",0.00739326955529516,0.00090700766214501
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.00370483202501051,0.00046000703199368
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.000150394758700411,7.90645714921379e-05
"ApparelPC","Soil (MP)",0.00191950317532481,0.00137449133942813
"ApparelPC","Fresh water",4.69343088197249e-07,2.65989945441959e-07
"ApparelPC","Fresh water (MP)",0.000507471848581189,0.000279249995217467
"ApparelPC","Subsurface soil (MP)",0.000859399540468302,0.000487376499074178
"ApparelPC","Coastal and ocean water",1.8287408385838e-07,9.92704100252466e-08
"ApparelPC","Coastal and ocean water (MP)",0.000161979093334771,0.000154125429847713
"HouseholdTextilesPC","Soil",0.000151288295187203,6.78614910662899e-05
"HouseholdTextilesPC","Soil (MP)",0.000658687937562055,0.000599946676374537
"HouseholdTextilesPC","Fresh water",4.72245578845326e-07,2.29020830959986e-07
"HouseholdTextilesPC","Fresh water (MP)",0.000111166647352309,9.6058211363422e-05
"HouseholdTextilesPC","Subsurface soil (MP)",8.44259138337454e-05,4.47374075185562e-05
"HouseholdTextilesPC","Coastal and ocean water",1.84246112154989e-07,8.4673245620932e-08
"HouseholdTextilesPC","Coastal and ocean water (MP)",5.59294715971021e-05,6.40197939050654e-05
"HygieneMedicalTextiles","Soil",0,0
"HygieneMedicalTextiles","Soil (MP)",0,0
"HygieneMedicalTextiles","Fresh water",0,0
"HygieneMedicalTextiles","Fresh water (MP)",0,0
"HygieneMedicalTextiles","Subsurface soil (MP)",0,0
"HygieneMedicalTextiles","Coastal and ocean water",0,0
"HygieneMedicalTextiles","Coastal and ocean water (MP)",0,0
"DisposableCleaningCloths","Soil",0.000152000306338378,8.76790989658275e-05
"DisposableCleaningCloths","Soil (MP)",0,0
"DisposableCleaningCloths","Fresh water",7.30112377618678e-05,5.90638205627313e-05
"DisposableCleaningCloths","Fresh water (MP)",0,0
"DisposableCleaningCloths","Subsurface soil (MP)",0,0
"DisposableCleaningCloths","Coastal and ocean water",1.84409945685282e-07,1.08175439336564e-07
"DisposableCleaningCloths","Coastal and ocean water (MP)",0,0
"WetWipes","Soil",0.00015176159756775,5.88069480300244e-05
