"prod","dest","mean","sd"
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.41783914590723e-06,7.01944251996919e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0129203166162795,0.00769503889365124
"AgriculturalPackagingBottles","Soil (MP)",4.04533406622667e-05,2.59194891834257e-05
"AgriculturalPackagingBottles","Fresh water",7.06076262434505e-07,4.19835096889036e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.43640667252947e-06,9.37056511399452e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000524214817961027,0.000394982797876795
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000805934758270022,0.000367703081912443
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",8.9863143616485e-05,5.97504563425001e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",0.000260999078096729,0.000169688892134568
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000813651719427872,0.000455915866190454
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",8.89950993456707e-05,7.21215446660002e-05
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",0.000259376418825871,0.000205170470633657
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000807724816133311,0.000248126919227605
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",8.9526737895112e-05,4.0389519997211e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",0.00025973555364798,0.000114599104047975
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.99049347209497e-07,1.08385508571229e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.30308035753431e-06,7.48111564743291e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.00048906055105481,0.000348784137957631
"Insulation","Soil (MP)",9.37345091761063e-05,1.90785186442188e-05
