"prod","dest","mean","sd"
"OtherOther","Coastal and ocean water",8.87678062332582e-07,2.75732052903134e-07
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",0,0
"FishingGearOcean","Soil (MP)",0,0
"FishingGearOcean","Fresh water",0,0
"FishingGearOcean","Fresh water (MP)",0,0
"FishingGearOcean","Subsurface soil (MP)",0,0
"FishingGearOcean","Coastal and ocean water",0.042311666812189,0.0140496435725091
"FishingGearOcean","Coastal and ocean water (MP)",0.00740493783958055,0.00090934619180911
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.00370563069839669,0.000458439919021358
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.000169586558942709,9.08427509697098e-05
"ApparelPC","Soil (MP)",0.00347282415946062,0.00124945764980879
"ApparelPC","Fresh water",1.27424639909471e-07,8.06412187815716e-08
"ApparelPC","Fresh water (MP)",0.000193853698630113,0.000144970747154457
"ApparelPC","Subsurface soil (MP)",0.000872900627857325,0.00049574944269233
"ApparelPC","Coastal and ocean water",8.80512047816874e-07,4.98755516328286e-07
"ApparelPC","Coastal and ocean water (MP)",0.00140313862939546,0.00100602388427476
"HouseholdTextilesPC","Soil",0.000170990082041608,7.91104180789668e-05
"HouseholdTextilesPC","Soil (MP)",0.000705058447119689,0.000486401951980254
"HouseholdTextilesPC","Fresh water",1.27499331760505e-07,6.84030033180987e-08
"HouseholdTextilesPC","Fresh water (MP)",4.98019525283002e-05,5.1172590049163e-05
"HouseholdTextilesPC","Subsurface soil (MP)",8.54582203433696e-05,4.62460142526522e-05
"HouseholdTextilesPC","Coastal and ocean water",8.82390239177739e-07,4.25890909242445e-07
"HouseholdTextilesPC","Coastal and ocean water (MP)",0.000304808933557988,0.000265713854042321
"HygieneMedicalTextiles","Soil",0,0
"HygieneMedicalTextiles","Soil (MP)",0,0
"HygieneMedicalTextiles","Fresh water",0,0
"HygieneMedicalTextiles","Fresh water (MP)",0,0
"HygieneMedicalTextiles","Subsurface soil (MP)",0,0
"HygieneMedicalTextiles","Coastal and ocean water",0,0
"HygieneMedicalTextiles","Coastal and ocean water (MP)",0,0
"DisposableCleaningCloths","Soil",0.00117285133811146,0.000920256476428909
