"prod","dest","mean","sd"
"HouseholdTextilesPC","Subsurface soil (MP)",0.00010269260223337,4.77717294671754e-05
"HouseholdTextilesPC","Coastal and ocean water",3.22087596424156e-07,1.46621795886019e-07
"HouseholdTextilesPC","Coastal and ocean water (MP)",2.24323631690196e-05,2.29791131318352e-05
"HygieneMedicalTextiles","Soil",0,0
"HygieneMedicalTextiles","Soil (MP)",0,0
"HygieneMedicalTextiles","Fresh water",0,0
"HygieneMedicalTextiles","Fresh water (MP)",0,0
"HygieneMedicalTextiles","Subsurface soil (MP)",0,0
"HygieneMedicalTextiles","Coastal and ocean water",0,0
"HygieneMedicalTextiles","Coastal and ocean water (MP)",0,0
"DisposableCleaningCloths","Soil",0.00112815298178933,0.000518679027679453
"DisposableCleaningCloths","Soil (MP)",0,0
"DisposableCleaningCloths","Fresh water",6.94445514740855e-05,5.31107179750979e-05
"DisposableCleaningCloths","Fresh water (MP)",0,0
"DisposableCleaningCloths","Subsurface soil (MP)",0,0
"DisposableCleaningCloths","Coastal and ocean water",3.24074038972357e-07,1.8702891725045e-07
"DisposableCleaningCloths","Coastal and ocean water (MP)",0,0
"WetWipes","Soil",0.0128407339472506,0.00746952649659727
"WetWipes","Soil (MP)",0,0
"WetWipes","Fresh water",0.00202023312418548,0.00126471600034726
"WetWipes","Fresh water (MP)",0,0
"WetWipes","Subsurface soil (MP)",0,0
"WetWipes","Coastal and ocean water",3.23467618117685e-07,1.29171070757402e-07
"WetWipes","Coastal and ocean water (MP)",0,0
"Tampons","Soil",0.0332593926240656,0.013353545448333
"Tampons","Soil (MP)",0,0
"Tampons","Fresh water",0.00544162123265552,0.00235328134361368
"Tampons","Fresh water (MP)",0,0
"Tampons","Subsurface soil (MP)",0,0
"Tampons","Coastal and ocean water",3.22695396848938e-07,1.2144790179305e-07
"Tampons","Coastal and ocean water (MP)",0,0
"PantyLiners","Soil",0.0228099409411906,0.0161971410506525
"PantyLiners","Soil (MP)",0,0
"PantyLiners","Fresh water",0.00367423182520381,0.00279525788888759
"PantyLiners","Fresh water (MP)",0,0
"PantyLiners","Subsurface soil (MP)",0,0
"PantyLiners","Coastal and ocean water",3.22962380567711e-07,1.8510198526658e-07
"PantyLiners","Coastal and ocean water (MP)",0,0
"SanitaryNapkins","Soil",0.0108635832707134,0.00559452508228414
"SanitaryNapkins","Soil (MP)",0,0
"SanitaryNapkins","Fresh water",0.00167925247708873,0.00095172895185782
"SanitaryNapkins","Fresh water (MP)",0,0
"SanitaryNapkins","Subsurface soil (MP)",0,0
"SanitaryNapkins","Coastal and ocean water",3.21674964020932e-07,1.26925592873036e-07
"SanitaryNapkins","Coastal and ocean water (MP)",0,0
"Agrotextiles","Soil",0.00137191065673319,0.000410986958436723
"Agrotextiles","Soil (MP)",0.012100371706292,0.00610481047448339
"Agrotextiles","Fresh water",4.81404834426239e-06,2.27664280174981e-06
"Agrotextiles","Fresh water (MP)",0,0
"Agrotextiles","Subsurface soil (MP)",0,0
"Agrotextiles","Coastal and ocean water",3.23479682737508e-07,1.48107643673666e-07
"Agrotextiles","Coastal and ocean water (MP)",0,0
"MobilityTextiles","Soil",0,0
"MobilityTextiles","Soil (MP)",0,0
"MobilityTextiles","Fresh water",0,0
"MobilityTextiles","Fresh water (MP)",0,0
"MobilityTextiles","Subsurface soil (MP)",0,0
"MobilityTextiles","Coastal and ocean water",0,0
"MobilityTextiles","Coastal and ocean water (MP)",0,0
"Geotextiles","Soil",0.0374476907905557,0.0167060739575994
"Geotextiles","Soil (MP)",0,0
"Geotextiles","Fresh water",0,0
"Geotextiles","Fresh water (MP)",0,0
"Geotextiles","Subsurface soil (MP)",0.0122013006999645,0.00589929465269101
"Geotextiles","Coastal and ocean water",0,0
"Geotextiles","Coastal and ocean water (MP)",0,0
"BuildingTextiles","Soil",0.0373268099271098,0.016312468804893
"BuildingTextiles","Soil (MP)",0,0
"BuildingTextiles","Fresh water",0,0
"BuildingTextiles","Fresh water (MP)",0,0
"BuildingTextiles","Subsurface soil (MP)",0,0
"BuildingTextiles","Coastal and ocean water",0,0
"BuildingTextiles","Coastal and ocean water (MP)",0,0
"TechnicalHouseholdTextiles","Soil",0.000735059352633454,0.000350749809203327
"TechnicalHouseholdTextiles","Soil (MP)",0.000837108634027725,0.000722609000206078
"TechnicalHouseholdTextiles","Fresh water",4.78213525569927e-06,2.36905877039117e-06
"TechnicalHouseholdTextiles","Fresh water (MP)",3.77180844627436e-05,2.18681724840641e-05
"TechnicalHouseholdTextiles","Subsurface soil (MP)",0.000102568177955108,5.02081234657539e-05
"TechnicalHouseholdTextiles","Coastal and ocean water",3.22506874255261e-07,1.58691482020977e-07
"TechnicalHouseholdTextiles","Coastal and ocean water (MP)",2.24273062138833e-05,2.38349028767426e-05
"TechnicalClothing","Soil",0.000728744313004772,0.000326227256493877
"TechnicalClothing","Soil (MP)",0.0029113755249326,0.00154687152564189
"TechnicalClothing","Fresh water",4.75747600182194e-06,2.21042635940245e-06
"TechnicalClothing","Fresh water (MP)",0.00029629832717997,0.000139614990392692
"TechnicalClothing","Subsurface soil (MP)",0.00104422700002532,0.000435402128384308
"TechnicalClothing","Coastal and ocean water",3.19097461887091e-07,1.44003558773827e-07
"TechnicalClothing","Coastal and ocean water (MP)",0.000115440774193862,0.000134468158569673
"OtherTechnicalTextiles","Soil",NA,NA
"OtherTechnicalTextiles","Soil (MP)",NA,NA
"OtherTechnicalTextiles","Fresh water",NA,NA
"OtherTechnicalTextiles","Fresh water (MP)",NA,NA
"OtherTechnicalTextiles","Subsurface soil (MP)",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water (MP)",NA,NA
"Post-consumer processes","Soil",0.00456095637705603,0.00210398983882931
"Post-consumer processes","Soil (MP)",1.25791498720177e-05,2.09704789218138e-06
"Post-consumer processes","Fresh water",0,0
"Post-consumer processes","Fresh water (MP)",2.15843659390987e-06,5.86856301495642e-07
"Post-consumer processes","Subsurface soil (MP)",2.46687401430979e-07,1.27481820213759e-07
"Post-consumer processes","Coastal and ocean water",0,0
"Post-consumer processes","Coastal and ocean water (MP)",1.15893347882469e-07,1.41984701508906e-07
