"prod","dest","mean","sd"
"WallFloorCoverings","Fresh water (MP)",1.46674557511555e-05,1.2872824582031e-05
"WallFloorCoverings","Subsurface soil (MP)",1.06928826532274e-05,1.03145214556559e-05
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",3.41428867759097e-06,4.08869025800224e-06
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.000911362601022517,0.000723828499194257
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000697175989061216,0.000163295175210715
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.00052240609494343,0.000197777060407454
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",1.87684045435286e-06,6.89148058881892e-07
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",1.83912591486513e-07,7.19007324208494e-08
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00252580052649645,0.000958444668879867
"AgriculturalFilms","Soil (MP)",0.0253881106208931,0.00654646227679123
"AgriculturalFilms","Fresh water",1.84999918452261e-06,1.02384786966103e-06
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",1.8282091802628e-07,1.06697016041237e-07
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0304093458965065,0.0098320233944762
"AgriculturalPipes","Soil (MP)",0.00103218394156026,0.000222577131069707
"AgriculturalPipes","Fresh water",1.88135418345306e-06,5.67020043482217e-07
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",1.84978730538494e-07,5.863723090092e-08
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0212229979600306,0.00731161766992875
"AgriculturalOther","Soil (MP)",0.00103149100657899,0.000296623505009157
