"country","dest","mean","sd"
"DE","Soil",0.000947440104701852,0.000258399273719781
"DE","Soil (MP)",0.000361900108968461,7.42770135216175e-05
"DE","Subsurface soil (MP)",5.28431808351991e-05,2.02869906841206e-05
"DK","Coastal and ocean water",0.000197914194283516,6.98956185446255e-05
"DK","Coastal and ocean water (MP)",7.26233723636049e-05,1.94876714703904e-05
"DK","Fresh water",1.73869306749816e-05,7.19053060018415e-06
"DK","Fresh water (MP)",2.85133785159564e-05,1.39281005335413e-05
"DK","Soil",0.00103273728739944,0.000298518611324263
"DK","Soil (MP)",0.000288050383275979,7.74504969911209e-05
"DK","Subsurface soil (MP)",6.0927391246036e-05,2.39613232096239e-05
"EE","Coastal and ocean water",4.1726578958453e-05,1.40527341303287e-05
"EE","Coastal and ocean water (MP)",2.28807857219193e-05,7.46922152605756e-06
"EE","Fresh water",1.8435790521538e-06,8.12208034371114e-07
"EE","Fresh water (MP)",8.36685279543472e-06,2.42261413435189e-06
"EE","Soil",0.000578798814298659,0.000143832966931496
"EE","Soil (MP)",0.000241600535369502,4.50565118717183e-05
"EE","Subsurface soil (MP)",2.76358476893121e-05,9.91096743550831e-06
"EL","Coastal and ocean water",0.00017128065746616,5.53006956230915e-05
"EL","Coastal and ocean water (MP)",2.81920026863512e-05,1.35934862185491e-05
"EL","Fresh water",1.98287549275837e-05,7.45785772803625e-06
"EL","Fresh water (MP)",5.46925929458937e-06,2.16494944878338e-06
"EL","Soil",0.00518850075032797,0.00175910334645075
"EL","Soil (MP)",0.000237110142599814,7.65998246631387e-05
"EL","Subsurface soil (MP)",2.36795911076469e-05,1.06185900071616e-05
"ES","Coastal and ocean water",3.30965553185231e-05,9.78196548812451e-06
"ES","Coastal and ocean water (MP)",2.42591473444779e-05,8.25407999596525e-06
"ES","Fresh water",3.62065861728592e-05,1.48766528167754e-05
"ES","Fresh water (MP)",8.37383129240805e-06,4.42999053710437e-06
"ES","Soil",0.00158332890099007,0.00045535833363968
"ES","Soil (MP)",0.000308543940023535,6.78417881130918e-05
"ES","Subsurface soil (MP)",6.28082377832515e-05,2.22170368387358e-05
"FI","Coastal and ocean water",2.53018152282891e-05,9.36706962467578e-06
