Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater to Sludge amended soil,13.7$\pm$18,478$\pm$520,506$\pm$550,3.96$\pm$4.9,1.11$\pm$1.5,1.23$\pm$1.7,490$\pm$550,1490$\pm$970,491$\pm$520,0.00507$\pm$0.0052,4,6,6,2,2,2,6,8,6,2
Storm water and wastewater (MP) to Soil (MP),20.7$\pm$16,58.1$\pm$42,229$\pm$180,9.29$\pm$7.1,0.261$\pm$0.14,71.1$\pm$54,107$\pm$76,496$\pm$210,78.9$\pm$45,0.00955$\pm$0.0071,4,4,6,2,1,4,6,6,4,2
Storm water and wastewater (MP) to Fresh water (MP),6.29$\pm$4.7,17.7$\pm$12,68.5$\pm$53,2.83$\pm$2.2,0.103$\pm$0.058,30.7$\pm$18,32.2$\pm$22,158$\pm$62,24$\pm$13,0.00293$\pm$0.0022,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Coastal and ocean water (MP),0.506$\pm$2.5,1.41$\pm$6.6,5.83$\pm$28,0.237$\pm$1.1,0.00259$\pm$0.014,2.03$\pm$9.6,2.64$\pm$12,12.7$\pm$33,1.92$\pm$7,0.00024$\pm$0.0011,1,2,2,1,1,2,2,4,2,1
Storm water and wastewater (MP) to End-of-life,5.68$\pm$3,15.7$\pm$7.7,64.2$\pm$32,2.59$\pm$1.3,0.0252$\pm$0.014,21.1$\pm$10,29.8$\pm$13,139$\pm$37,21.3$\pm$8.3,0.00262$\pm$0.0013,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Sludge amended soil (MP),151$\pm$68,416$\pm$170,1710$\pm$720,69.3$\pm$31,0.677$\pm$0.32,562$\pm$230,796$\pm$280,3710$\pm$830,567$\pm$190,0.07$\pm$0.031,6,6,8,4,1,6,6,8,6,4
On-the-go consumption to Waste collection and recycling,8270$\pm$5000,15400$\pm$8200,30400$\pm$17000,4590$\pm$2600,0$\pm$0,3600$\pm$2000,81000$\pm$48000,143000$\pm$52000,23600$\pm$9600,4.59$\pm$2.6,8,10,10,8,0,8,10,10,10,8
On-the-go consumption to Litter,1510$\pm$1100,2800$\pm$1900,5510$\pm$3800,838$\pm$570,0$\pm$0,651$\pm$440,14800$\pm$11000,26100$\pm$11000,4310$\pm$2100,0.838$\pm$0.57,8,8,8,6,0,6,10,10,8,6
Litter to Waste collection and recycling,6080$\pm$3300,8870$\pm$4100,9380$\pm$4400,1680$\pm$910,3580$\pm$2600,6690$\pm$4800,15300$\pm$9800,51600$\pm$13000,15000$\pm$5300,5.26$\pm$2.8,8,8,8,8,8,8,10,10,10,8
Litter to Storm water and wastewater,57$\pm$50,63.2$\pm$53,72.9$\pm$60,16.7$\pm$14,4.6$\pm$4.4,5.21$\pm$5.2,127$\pm$120,347$\pm$160,120$\pm$73,0.0213$\pm$0.015,4,4,4,4,2,2,6,6,6,4
