Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Agriculture to Soil,108$\pm$57,44.5$\pm$27,25.9$\pm$11,1.87$\pm$1.3,0$\pm$0,17$\pm$10,1.23$\pm$0.85,199$\pm$64,153$\pm$62,0.00187$\pm$0.0013,6,4,4,2,0,4,2,6,6,2
Hygiene products to Waste collection and recycling,0$\pm$0,1710$\pm$1200,2320$\pm$1500,0$\pm$0,0$\pm$0,0$\pm$0,3340$\pm$2000,7360$\pm$3100,1710$\pm$1200,0$\pm$0,0,8,8,0,0,0,8,8,8,0
Hygiene products to Storm water and wastewater,0$\pm$0,972$\pm$700,1010$\pm$690,0$\pm$0,0$\pm$0,0$\pm$0,940$\pm$720,2930$\pm$1300,972$\pm$700,0$\pm$0,0,6,8,0,0,0,6,8,6,0
Hygiene products to Dumping,0$\pm$0,3.4$\pm$2.4,4.27$\pm$3,0$\pm$0,0$\pm$0,0$\pm$0,5.5$\pm$3.6,13.2$\pm$5.8,3.4$\pm$2.4,0$\pm$0,0,2,2,0,0,0,2,4,2,0
PCCP to Waste collection and recycling,0$\pm$0,1.05$\pm$0.85,0.00246$\pm$0.002,0$\pm$0,0$\pm$0,0$\pm$0,0.0054$\pm$0.0044,1.06$\pm$0.85,1.05$\pm$0.85,0$\pm$0,0,2,1,0,0,0,1,2,2,0
PCCP to Storm water and wastewater (MP),0$\pm$0,19.9$\pm$13,0.0468$\pm$0.03,0$\pm$0,0$\pm$0,0$\pm$0,0.103$\pm$0.066,20.1$\pm$13,19.9$\pm$13,0$\pm$0,0,4,1,0,0,0,1,4,4,0
Clothing to Waste collection and recycling,0$\pm$0,709$\pm$470,16500$\pm$7500,0$\pm$0,0$\pm$0,0$\pm$0,85300$\pm$30000,103000$\pm$31000,709$\pm$470,0$\pm$0,0,6,10,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0$\pm$0,5.51$\pm$3.7,129$\pm$60,0$\pm$0,0$\pm$0,0$\pm$0,664$\pm$240,798$\pm$250,5.51$\pm$3.7,0$\pm$0,0,2,6,0,0,0,6,6,2,0
Clothing to Dumping,0$\pm$0,0.91$\pm$0.77,21.1$\pm$13,0$\pm$0,0$\pm$0,0$\pm$0,110$\pm$56,132$\pm$58,0.91$\pm$0.77,0$\pm$0,0,1,4,0,0,0,6,6,1,0
Clothing to Indoor air (MP),0$\pm$0,2.03$\pm$2.3,47.2$\pm$43,0$\pm$0,0$\pm$0,0$\pm$0,244$\pm$210,294$\pm$240,2.03$\pm$2.3,0$\pm$0,0,2,4,0,0,0,6,6,2,0
